Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,ENCOUNTERS,PROCEDURES
727589c0-ec71-3348-a2a8-0d7d64aa376d,bf5c8080-2932-33cd-a909-544a6cf35968,Iraida50 Lehner980,F,GENERAL PRACTICE,26520 CACTUS AVE,MORENO VALLEY,CA,925553927,33.9119259,-117.19637878783084,4,0
627b3e03-816d-3581-9439-a2832df9fdb1,314d78d4-d9f7-38a8-a25d-e726fe60fa4b,Araceli695 Medhurst46,F,GENERAL PRACTICE,1205 E GRAND AVE STE H,ARROYO GRANDE,CA,934202419,35.12046024390244,-120.60066690243902,60,0
04939193-d463-3fc4-bec8-eea268abc537,f6bb2585-3f11-3b6a-8a14-125bf51e5bce,Justine412 Walter473,F,GENERAL PRACTICE,1240 BROADWAY,EL CAJON,CA,920214947,32.80833,-116.938383,109,0
a41639de-0d46-3642-8a26-9e00756b2ef0,165b6ac2-0973-39e8-834c-2294793473ea,Miguel815 Harvey63,M,GENERAL PRACTICE,3800 KILROY AIRPORT WAY,LONG BEACH,CA,908066818,33.8072155,-118.1445534,32,0
67d35958-382a-3ccd-8fac-900daa9f3d77,7ad569f9-d40f-367e-a0dc-9cd65ec0b010,Maple925 Hyatt152,F,GENERAL PRACTICE,1838 EL CAMINO REAL,BURLINGAME,CA,940103105,37.5857143,-122.3689209,40,0
ce46f132-5008-3801-95a5-49016fde3edd,32dd5695-3c26-3f1e-80e6-700668319d63,Eva64 Burgos636,F,GENERAL PRACTICE,7485 MISSION VALLEY RD,SAN DIEGO,CA,921084422,32.779344,-117.160108,2,0
755acde3-fca1-3e14-a0c0-ebdb52d21eeb,30c2256c-5b5f-367a-896d-43a20284096b,Boyd728 Schinner682,M,GENERAL PRACTICE,28300 HUNTWOOD AVE,HAYWARD,CA,945445425,37.6352518,-122.066243,146,0
9dcf3c57-d373-3acb-a992-d9f3c25a98e7,02fdb652-a053-3fc5-9760-2a02d4bd621e,Tamatha836 Kertzmann286,F,GENERAL PRACTICE,200 JOSE FIGUERES AVE STE 260,SAN JOSE,CA,951222541,37.3614292,-121.8499748,29,0
4a2a4ce6-cc5b-35c9-84b1-38e6ebe7b2e2,c0c76cf5-cb44-33cf-9897-dc9cdd38991c,Brendan864 Hintz995,M,GENERAL PRACTICE,2100 NAPA VALLEJO HIGHWAY,NAPA,CA,945586234,38.2795246,-122.2998321,4,0
2d78f5c5-e2ce-31c8-a846-20673b341317,6e2d7cdb-1abc-30ac-807a-c7fb14733a29,Miguel815 Roberts511,M,GENERAL PRACTICE,27200 CALAROGA AVE,HAYWARD,CA,945454339,37.63320025,-122.08790356843016,21,0
69b1763d-a553-3f9a-8d9b-ec11c922e91b,a5e9d63d-9eef-3426-aacd-8391a5ddaee4,Sharron285 Okuneva707,F,GENERAL PRACTICE,1900 SULLIVAN AVE,MOSS BEACH,CA,940389641,37.52011950000001,-122.5096690223618,4,0
620eadb2-6f4f-320a-b9c8-db92733d5ab5,177ecf51-776a-369b-8904-03c7fa961d5d,Juan88 Barajas558,M,GENERAL PRACTICE,865 THIRD AVENUE  SUITE 133,CHULA VISTA,CA,91910,32.621851201392644,-117.07218709213826,78,0
818e42d7-2982-3eb2-baa1-8a3868c5cb54,e9d0216e-1b46-3d32-9c82-4109c47aaad7,Suk497 Blanda868,F,GENERAL PRACTICE,16127 FOOTHILL BLVD,FONTANA,CA,923353374,34.10648466265709,-117.45296652495978,99,0
0b478e27-94bb-329a-b22c-176ee00ebfeb,51fd9255-9f49-3abe-b840-4fcf34a5e0ee,Manuela585 Rippin620,F,GENERAL PRACTICE,3055 W RAMSEY ST,BANNING,CA,922203781,33.9255685,-116.875289,57,0
b8f996df-f473-3e1f-9a64-9ba88171e908,71aaab47-33ca-37f8-9f0c-74ea6bde16cf,Sergio619 Huerta329,M,GENERAL PRACTICE,2308 HAGGIN OAKS BLVD,BAKERSFIELD,CA,933111563,35.33341585,-119.09860799307987,37,0
50084104-6f44-3d35-86fa-762c4ccbd7d5,80bbd347-824d-392f-a81b-a54a303431db,Crista774 Grimes165,F,GENERAL PRACTICE,2455 JEFFERSON BLVD STE 100,WEST SACRAMENTO,CA,956915329,38.55263185,-121.5360858128757,74,0
a74d1df5-f586-3c65-907e-5aff554cc562,7e97cfe1-7406-31dc-b34a-e6c1afedf34e,Kathrine376 Reinger292,F,GENERAL PRACTICE,6601 WHITE FEATHER RD,JOSHUA TREE,CA,922526607,34.131822,-116.27504867355569,8,0
4373ec1a-03a7-3885-8e66-878e08a9bb1a,1c62b0d1-e44c-3aca-a617-5c5c99872844,Corie618 Prohaska837,F,GENERAL PRACTICE,30924 E KINGS CANYON RD,SQUAW VALLEY,CA,936759601,36.74090651854559,-119.24554624512591,33,0
60d2b48f-6cb7-39dd-b8e4-b703128c8b9f,a0c63140-c437-3c5e-93dd-cbdfaf7eb93d,Teodoro374 Koss676,M,GENERAL PRACTICE,2540 EAST ST,CONCORD,CA,945202267,37.9835342,-122.03326853469336,2,0
35cca691-b7de-3bfd-9efa-ba26d4a3475f,836b770d-7ff4-385e-8939-33aadf4d9f1f,Tambra47 Langworth352,F,GENERAL PRACTICE,7300 SANTA FE AVE.,SHERMAN OAKS,CA,914235523,34.1508718,-118.4489865,80,0
64a80f37-0f3d-3348-be9a-09ca8e7509ef,9afa5d3c-7ee6-3f21-9b1b-5591edfe1edb,Rafael239 Cruz300,M,GENERAL PRACTICE,1999 S BASCOM AVE STE 1020,CAMPBELL,CA,950082206,37.28777715,-121.93521282508343,37,0
b5383430-9680-32fe-924f-11f699647580,42186452-c1e6-326b-a098-2838d74aa29a,Tomika243 Deckow585,F,GENERAL PRACTICE,250 NORTHGATE DR,MANTECA,CA,953363161,37.81897818945475,-121.21992904337117,57,0
23633a54-de36-347a-9008-7c029dc83ed8,6d828d69-0eba-36d3-b68b-ac0e9836ad74,Jacqui951 Stoltenberg489,F,GENERAL PRACTICE,22817 AVE 196,STRATHMORE,CA,93267,36.14547784594511,-119.06404408934196,32,0
