Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
b178f17b-c573-5cfb-9841-c11ad98e3bdf,2021-09-25,,999-67-3133,,,,Raina861,Shae705,McLaughlin530,,,,white,hispanic,F,La Selva Beach  California  US,1064 Waters Mews,Bakersfield,California,Kern County,6029,93301,35.44822056993156,-118.79131746745291,400.00,5179.88,27923
0b370c12-697b-cc54-702c-3cc2f08e3498,2021-11-02,,999-61-3576,,,,Abe604,Hayden835,Braun514,,,,black,nonhispanic,M,Los Angeles  California  US,299 Lesch Parade,Elk Grove,California,Sacramento County,6067,95830,38.46996406159241,-121.2901786487378,400.00,5179.88,34549
ee3e5749-1151-a90c-81cc-8ee9a62fb2d5,2015-11-25,,999-24-2575,,,,Mckinley734,Lee268,Abernathy524,,,,asian,nonhispanic,M,Seoul  Seoul  KR,350 Wiza Boulevard,Alhambra,California,Los Angeles County,6037,91030,34.06949976763997,-118.18400379299803,6432.79,1387.65,68056
41feaad1-385e-6b60-58f8-63ab41d67782,2015-05-14,,999-48-2248,,,,Mariana775,Dolores502,Cervantes583,,,,white,hispanic,F,Mexico City  Mexico City  MX,340 Waters Wall,Hanford,California,Kings County,6031,93230,36.282130491878156,-119.62505996712481,1000.00,6820.44,44084
9de185e5-28ca-969d-098e-c78ec03b1781,2012-03-16,,999-80-2716,,,,Germán350,José3,Saldivar860,,,,native,hispanic,M,Panama City  Panama  PA,749 Ortiz Stravenue,Torrance,California,Los Angeles County,6037,90501,33.83637923812992,-118.36901671426187,9894.12,0.00,97534
c583d0c2-ed29-b240-4cb5-7fe9d30108e4,2023-04-11,,999-40-8598,,,,Layne115,,Hilll811,,,,white,hispanic,F,Los Berros  California  US,656 Cronin Camp Unit 73,Redlands,California,San Bernardino County,6071,92374,34.077734365612784,-117.14649972452969,3762.71,1387.65,152900
86c0b5cb-ac82-3dd7-384a-1562b5f64451,2017-04-28,,999-63-3194,,,,Jeanelle736,,Bailey598,,,,white,nonhispanic,F,Bonita  California  US,1010 Lueilwitz Frontage road,San Francisco,California,San Francisco County,6075,94111,37.73705565288579,-122.38334839016187,800.00,6454.92,6850
c79e2725-0df2-4a44-c162-23c0cbfb7f9b,1998-04-12,,999-65-6367,S99965670,X21759874X,Ms.,Loria303,Eusebia552,Crooks415,,,,asian,nonhispanic,F,Santee  California  US,1052 Stanton Promenade,Anaheim,California,Orange County,6059,92867,33.806353733057115,-117.87938766735664,4401.68,7482.52,31798
271e114e-86a5-2979-dd96-ddfcf59914a3,2002-01-01,,999-76-3811,S99931023,X35878686X,Mr.,Germán350,Ignacio928,Benavídez820,,,,white,hispanic,M,Port-au-Prince  Haiti  HT,494 Grimes Annex Unit 25,West Covina,California,Los Angeles County,6037,91746,34.121513644906564,-117.81296426920301,11601.44,0.00,129240
bc2275e4-b4b6-7089-a280-2599d72161b2,2005-01-05,,999-54-2088,S99974500,X30374157X,Mr.,Joaquín233,Enrique929,Alfaro627,,,,white,hispanic,M,Buenos Aires  Ciudad de Buenos Aires  AR,966 Kshlerin Byway Apt 17,West Sacramento,California,Yolo County,6095,95620,38.59028886746628,-121.67972870295073,2300.00,8882.68,20067
98104aa3-d344-853f-bc42-bb9c6438a1c0,1988-05-22,,999-17-3516,S99913934,X29579951X,Mr.,Brad867,,Predovic534,,,W,white,nonhispanic,M,San Bernardino  California  US,995 O'Reilly Burg,Downey,California,Los Angeles County,6037,90670,34.00251069346094,-118.15673560691857,3950.00,7296.54,602
ca0de335-49f7-12cd-9b07-936da903affe,2004-12-26,,999-35-2819,S99918075,X40554711X,Mr.,Raul814,Jeffrey461,Marquardt819,,,,white,hispanic,M,Laguna Hills  California  US,1066 Zieme Road Suite 76,Stockton,California,San Joaquin County,6077,95205,37.91418802173869,-121.37297275170394,10637.28,0.00,140537
ef839f86-9afe-bafc-3522-c1db7dde7454,1985-01-16,,999-14-1877,S99911179,X51192790X,Mr.,Brenton674,,Hauck852,,,M,white,nonhispanic,M,Hollister  California  US,685 Feeney Plaza Unit 33,Laguna Niguel,California,Orange County,6059,92677,33.48979705106729,-117.67885403032385,11802.00,0.00,178715
30019e98-7679-47b4-3d61-6cc5b755417f,1996-12-08,,999-20-5364,S99916920,X65667967X,Mr.,Jude172,Dexter530,Murazik203,,,M,black,nonhispanic,M,Long Beach  California  US,939 Herman Light,Fairfield,California,Solano County,6095,94591,38.23780695264981,-121.87635217886962,12166.96,0.00,54205
5f3e9f7e-5660-457d-b74b-55424a961ccb,1980-11-11,,999-28-4837,S99938475,X39205883X,Ms.,Stefanie819,Cierra898,Stanton715,,,S,white,hispanic,F,Los Angeles  California  US,895 Ernser Walk,Los Angeles,California,Los Angeles County,6037,90002,34.0171827255263,-118.49128685064508,12230.82,0.00,78904
f0ba6885-36af-c916-f198-c762053be03a,1972-05-24,,999-14-2385,S99995655,X21106958X,Mr.,Mauricio81,Jared66,Wiza601,,,M,white,nonhispanic,M,Baldwin Park  California  US,248 Crist Approach Apt 34,Elk Grove,California,Sacramento County,6067,95830,38.52767393150872,-121.35638085598633,13656.08,0.00,108888
b9973e5e-da75-6b5f-18f6-79123cea00ef,1977-11-03,,999-90-9685,S99910548,X61356284X,Mrs.,Yevette778,Jada948,Friesen796,,Schmitt836,M,white,nonhispanic,F,Temescal Valley  California  US,288 Hegmann Pathway,El Cajon,California,San Diego County,6073,91941,32.75279459230548,-116.99168007717338,12251.64,0.00,52083
cafdcea4-ef5e-dc43-b208-412f27c9a655,2021-10-02,,999-53-7925,,,,Jonah176,Hugo693,Goldner995,,,,white,hispanic,M,Chino Hills  California  US,564 Kozey Alley,National City,California,San Diego County,6073,91902,32.634209155987236,-117.09056351717207,400.00,5179.88,23481
62499ffc-b588-8392-9f08-4c729d78c2c1,2012-02-11,,999-34-8265,,,,Carlos172,César846,Madera340,,,,white,hispanic,M,Santiago de los Caballeros  Santiago  DO,904 Connelly Key,Glendora,California,Los Angeles County,6037,91741,34.080708744762966,-117.80132307289078,10176.88,0.00,124143
730fc821-7c40-7549-64ec-4fec6bdef458,1968-05-25,,999-37-9374,S99964444,X28929849X,Mr.,Gerardo48,Arturo47,Navarro863,,,M,white,hispanic,M,Carolina  Puerto Rico  PR,1017 Becker Parade,Santa Rosa,California,Sonoma County,6097,95401,38.440529475302824,-122.77974932846031,10438.60,4076.52,23657
0c3468e5-3981-a323-20b8-21e4047cd72c,2017-07-21,,999-30-9410,,,,Marybelle759,Hong136,Konopelski743,,,,white,hispanic,F,Santa Monica  California  US,413 Schaefer Crossroad,Goleta,California,Santa Barbara County,6083,93111,34.446297479934955,-120.10032671012388,800.00,6454.92,43904
5c6a8520-8dc4-94cd-a168-3d0827f164c2,2013-11-23,,999-18-7416,,,,Kieth891,Stefan297,Christiansen251,,,,white,nonhispanic,M,Bakersfield  California  US,167 Jaskolski Passage,Claremont,California,Los Angeles County,6037,91711,34.142384643745785,-117.78867490767475,1300.00,8175.36,32893
8d746372-05b1-0fd1-f9a0-b107933915e5,2006-05-13,,999-57-8969,S99931993,,Ms.,Karena692,Leoma634,Gorczany269,,,,white,nonhispanic,F,San Luis Obispo  California  US,809 Wolff Trail,Watsonville,California,Santa Cruz County,6087,95076,36.94464411364491,-121.79393758598727,10773.28,0.00,72898
ee0e69fa-4e09-2772-6dc8-2be16ed9f98d,2005-02-21,,999-78-8807,S99955623,X70630006X,Ms.,Shanell37,Latina115,Hagenes547,,,,white,nonhispanic,F,Corona  California  US,156 Rice Common Apt 88,Carmichael,California,Sacramento County,6067,95608,38.57697784587203,-121.3422259981086,11318.68,0.00,52939
1aaf5a84-b074-dfa2-cecc-5ffb40875146,1969-12-14,,999-44-8121,S99957069,X16759464X,Mrs.,Fredda152,Kathern391,Hauck852,,Runolfsson901,M,white,hispanic,F,Kerman  California  US,951 Prohaska Glen,Los Angeles,California,Los Angeles County,6037,90275,34.165006611195366,-118.33784424618378,10291.84,4076.52,30721
